part_id,agent_type,block,trial_no,q1,q2,q3,q4,q5,q6
1111,RL,2.0,10,7.0,7.0,7.0,7.0,7.0,1.0
1111,RL,2.0,14,6.0,7.0,7.0,7.0,7.0,1.0
1111,RL_HP,1.0,4,7.0,7.0,6.0,5.0,6.0,1.0
1111,RL_HP,1.0,6,7.0,7.0,6.0,7.0,7.0,1.0
1111,RL_HP,2.0,12,7.0,7.0,7.0,7.0,7.0,1.0
1111,RL_HP,2.0,16,7.0,7.0,7.0,7.0,7.0,1.0
1112,RL,1.0,4,7.0,5.0,5.0,3.0,7.0,1.0
1112,RL,1.0,6,7.0,5.0,3.0,3.0,7.0,1.0
1112,RL,2.0,10,5.0,4.0,2.0,5.0,4.0,
1112,RL,2.0,14,7.0,6.0,5.0,2.0,6.0,
1112,RL_HP,1.0,2,7.0,7.0,4.0,1.0,7.0,
1112,RL_HP,1.0,8,7.0,6.0,7.0,2.0,6.0,1.0
1112,RL_HP,2.0,12,7.0,6.0,6.0,2.0,7.0,
1112,RL_HP,2.0,16,7.0,7.0,7.0,1.0,7.0,
1113,RL,1.0,2,4.0,4.0,4.0,4.0,5.0,
1113,RL,1.0,6,5.0,5.0,5.0,5.0,5.0,1.0
1113,RL,2.0,12,5.0,6.0,5.0,6.0,6.0,
1113,RL,2.0,16,1.0,5.0,5.0,5.0,5.0,
1113,RL_HP,1.0,4,5.0,5.0,3.0,5.0,5.0,
1113,RL_HP,1.0,8,6.0,6.0,4.0,5.0,5.0,
1113,RL_HP,2.0,10,5.0,5.0,5.0,5.0,2.0,
1113,RL_HP,2.0,14,2.0,2.0,2.0,1.0,1.0,
1114,RL,1.0,4,4.0,2.0,3.0,2.0,2.0,0.0
1114,RL,1.0,6,1.0,2.0,5.0,2.0,5.0,0.0
1114,RL,2.0,10,4.0,2.0,4.0,1.0,4.0,0.0
1114,RL,2.0,16,5.0,5.0,5.0,6.0,6.0,0.0
1114,RL_HP,1.0,2,6.0,5.0,1.0,4.0,4.0,0.0
1114,RL_HP,1.0,8,6.0,6.0,6.0,7.0,6.0,0.0
1114,RL_HP,2.0,12,6.0,5.0,5.0,5.0,5.0,0.0
1114,RL_HP,2.0,14,6.0,6.0,5.0,5.0,6.0,0.0
1115,RL,1.0,2,4.0,5.0,5.0,5.0,6.0,
1115,RL,1.0,8,6.0,6.0,5.0,5.0,5.0,
1115,RL,2.0,10,5.0,4.0,4.0,4.0,4.0,
1115,RL,2.0,14,3.0,3.0,3.0,3.0,3.0,
1115,RL_HP,1.0,4,7.0,7.0,7.0,4.0,6.0,
1115,RL_HP,1.0,6,7.0,7.0,6.0,6.0,6.0,
1115,RL_HP,2.0,12,6.0,6.0,5.0,5.0,5.0,
1115,RL_HP,2.0,16,6.0,5.0,5.0,5.0,5.0,
1116,RL,1.0,2,5.0,5.0,6.0,3.0,2.0,0.0
1116,RL,1.0,8,7.0,7.0,6.0,3.0,2.0,0.0
1116,RL,2.0,10,5.0,5.0,3.0,4.0,2.0,0.0
1116,RL,2.0,16,7.0,5.0,6.0,2.0,2.0,0.0
1116,RL_HP,1.0,4,3.0,5.0,3.0,1.0,6.0,1.0
1116,RL_HP,1.0,6,3.0,6.0,5.0,7.0,6.0,0.0
1116,RL_HP,2.0,12,5.0,5.0,4.0,6.0,5.0,0.0
1116,RL_HP,2.0,14,6.0,6.0,6.0,3.0,2.0,0.0
1117,RL,1.0,2,1.0,1.0,1.0,1.0,1.0,
1117,RL,1.0,8,4.0,3.0,3.0,4.0,3.0,0.0
1117,RL,2.0,10,5.0,6.0,4.0,4.0,6.0,0.0
1117,RL,2.0,16,5.0,4.0,4.0,4.0,4.0,0.0
1117,RL_HP,1.0,4,1.0,1.0,1.0,1.0,1.0,
1117,RL_HP,1.0,6,6.0,5.0,4.0,6.0,5.0,0.0
1117,RL_HP,2.0,12,6.0,6.0,5.0,5.0,5.0,0.0
1117,RL_HP,2.0,14,6.0,5.0,5.0,5.0,5.0,0.0
1118,RL,1.0,4,2.0,2.0,2.0,6.0,1.0,1.0
1118,RL,1.0,6,6.0,6.0,6.0,4.0,2.0,0.0
1118,RL,2.0,10,4.0,4.0,2.0,6.0,3.0,1.0
1118,RL,2.0,16,4.0,3.0,3.0,5.0,4.0,1.0
1118,RL_HP,1.0,2,4.0,4.0,5.0,1.0,4.0,0.0
1118,RL_HP,1.0,8,5.0,6.0,6.0,6.0,6.0,0.0
1118,RL_HP,2.0,12,6.0,6.0,6.0,6.0,6.0,0.0
1118,RL_HP,2.0,14,7.0,7.0,7.0,5.0,7.0,0.0
